National Anthems of Great Current Whaling Nations - South Korea - http://t.co/Zdx3ziLiV6 #Tweet4Taiji #SeaShepherd #thecove,4/29/2014
"For my vis ID class, we picked a cause and designed an ad campaign for it. I chose anti - whaling for… http://t.co/3XQAAPsQdU",4/30/2014
"May 1-15, 1865 - During this period, Shenandoah ""made northings"" towards the Bering Sea whaling ground... http://t.co/PwaUbgnn3z",5/1/2014
"RT @Hoooper_x3: Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/UDRoSa0Enz via @YouTube",5/8/2014
Whaling was the island’s lifeblood. Tourists now revel in the charm and history of the summer hot spot - #Nantucket http://t.co/AkHkK0uBzA,5/19/2014
RT @cloud_stream: #worldnews #Yasukuni #peace #Shrine #Japan :Statement by PM #Abe - Pledge for everlasting peace http://t.co/2bZo9TBrFK #U…,5/4/2014
Taking the arguments against Icelandic whaling to Russia - http://t.co/an0DjV4aEW,5/28/2014
RT @action4ifaw: Taking the arguments against Icelandic whaling to Russia - http://t.co/w7o9LVnAdn,5/28/2014
Taking the arguments against Icelandic whaling to Russia - http://t.co/w7o9LVnAdn,5/28/2014
#museum #arts Man reports robbery outside Whaling Museum - http://t.co/fNTFBDHdry http://t.co/ToK1QUPefp,5/28/2014
"New artwork for sale! - ""Whaling "" - http://t.co/2WCfhElmuh @fineartamerica http://t.co/JbDUuhGFpq",5/28/2014
"RT @snarkywench: Salt & Storm by Kendell Kulper - whaling community in 1800s, protagonist is from island's witch family. String voice. #nov…",5/28/2014
National Anthems of Great Current Whaling Nations - Russia - http://t.co/5FeuJ36e8h #Tweet4Taiji #thecove #seashepherd,5/28/2014
"RT @rpmagana: Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling http://t.co/lbuzx5nDJ4 via @youtube ������������",5/29/2014
Heather Whaling (@prtini) on the Art of Public Relations - Reach the Summit [Podcast] | http://t.co/LAVOP8CF4A #OGS14,5/29/2014
the ever so controversial shrine. good watch YASUKUNI SHRINE JAPAN - 靖国神社: http://t.co/LG0NcoWB9h via @YouTube,5/2/2014
YASUKUNI SHRINE JAPAN - 靖国神社: http://t.co/PTDk4DLTDm @YouTubeさんから,5/2/2014
YASUKUNI SHRINE JAPAN - 靖国神社: http://t.co/tQWITzlWZl @YouTubeさんから最後が泣ける ありがとうううう＾＾,5/3/2014
RT @YukaLovesSimon: YASUKUNI SHRINE JAPAN - 靖国神社: http://t.co/Y4MzZcmTlu via @YouTube ❤,5/3/2014
YASUKUNI SHRINE JAPAN - 靖国神社 - YouTube http://t.co/nXtJm7JJgN,5/3/2014
"画像： chikuri: loving—your—eyes: Shinto priests of the Yasukuni santuary. Tokio, Japan. REUTERS - Yuya... http://t.co/1e16qrOpYO",5/5/2014
Please look at these video @CarolineKennedy YASUKUNI SHRINE JAPAN - 靖国神社 http://t.co/M7AqRNJITY#LoveJapan #LoveAmerica #Yasukuni,5/8/2014
"The Senkaku Islands - Seeking Maritime Peace based on the Rule of Law, n...: http://t.co/HRP32QrroC #japan",5/9/2014
RT @Private_Kiguchi: The Senkaku Islands - Seeking Maritime Peace based on the Rule外務省動画チャンネル Japanease MOFA channel http://t.co/7IucQJGg…,5/9/2014
"RT @nozomi777v: #JAPAN #Senkaku : The Senkaku Islands - Seeking Maritime Peace based on the Rule of Law, n...: http://t.co/j74TxLRJSR",5/9/2014
。The Senkaku Islands - Seeking Maritime Peace based on the Rule of (http://t.co/2h7kQZqhkz) - Produced by the… http://t.co/Ph9P6l0Bot,5/14/2014
#Cherryblossoms and Yasukuni: clashing images of #Japan's #publicdiplomacy - AJW by The Asahi Shimbun http://t.co/cK6Cn17yJN #nationbranding,5/17/2014
YASUKUNI SHRINE JAPAN - 靖国神社: http://t.co/MiFxGLJtX7 @YouTubeさんから,5/21/2014
Scientists use DNA to identify species killed during early whaling days - http://t.co/lgaSx7TQrZ,4/29/2014
@becook1964 fella may be into whaling even it small bait i tried to use a minnow could it be this 100 million for shark and tunna - oh ok,4/29/2014
Why Norway Needs to Let Whaling Die - http://t.co/biPBvYMoNm,4/30/2014
Wildlife Extra News - Clues to why whales are not recovering in numbers in the Antarctic http://t.co/r88M6ZkInS #OpFunKill,5/1/2014
Remit initiatory online bout. whaling fleet scholarships - getting the unseal course of study number one deserve on account of thi: vdaKZS,5/2/2014
Whaling damaging Icelandic farming exports - WDC: http://t.co/gNRGwkpnCk,5/2/2014
"RT @jobhani: Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/73l99Be237 via @YouTube",5/3/2014
#scientology - less scientific than Japanese whaling #Flagdown2014 http://t.co/coqFy7j6pq,5/5/2014
"RT @iusedtoknowyou_: People have time - Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/zPzHg84dql vi…",5/5/2014
Icicle whaling bus - reasons ice field fishers line of duty load the mind single: Phv,5/5/2014
RT @klgandhoda: Our girls @KathieLGifford @hodakotb get in on #whaling in the @todayshow greenroom - and no one got hurt! https://t.co/WPm…,5/5/2014
Chequen este post: Eric Jay Dolin - Leviathan: The History of Whaling in America http://t.co/7PBDj3qa59,5/6/2014
Grunion diarrhea - whaling pro thy control means of access san diego: EtXyNy http://t.co/H8Rvg2Tlrm,5/7/2014
"RT @juanslouis: Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/8R9uhVW7xa via @YouTube",5/8/2014
10ft whaling fleet enclave - welding services - uk welding services: uTtUWiDt,5/8/2014
Wildlife Extra News - Clues to why whales are not recovering in numbers in the Antarctic http://t.co/o9UZUYAxz3,5/8/2014
Today's panel - Whaling #GTOSThreadingwest #GreatTapestryofScotland http://t.co/WTQIcbjCpl,5/8/2014
"Whaling along trying to remember the words to Ken Doh - Nakasaki, well I'm stuck in the office waiting on something so why not",5/8/2014
Press Herald - Connecticut whaling ship selects Maine ‘stowaway’ http://t.co/3bQ166RfPu,5/8/2014
Providence Journal - Connecticut whaling ship selects Maine ‘stowaway’ http://t.co/6x0CqtjVuH,5/8/2014
Connecticut whaling ship selects Maine 'stowaway' - WCSH-TV http://t.co/rWrEZg1DDS #maine #lobster,5/8/2014
National Anthems of Great Current Whaling Nations - Russia - http://t.co/5FeuJ36e8h #Tweet4Taiji #thecove #seashepherd,5/8/2014
Connecticut whaling ship selects Maine 'stowaway' - WCSH-TV http://t.co/ilg2wIo7dN,5/8/2014
Salt sea haulage whaling fleet - dismiss persist foremost in there with regards in order to getting yours products in consideratio: ZFRt,5/9/2014
RT @Vancouver_Now: Classes & Workshops: http://t.co/sMBvjTxSNy - RT @WildSalmonCove Japanese #Whaling in Southern Oceans SEMINAR at the Uni…,5/10/2014
RT @blownforgood: #scientology - less scientific than Japanese whaling #Flagdown2014 http://t.co/coqFy7j6pq,5/10/2014
"Blog Post: Joe Beck - ""Get Me Joe Beck"" - Available Now On Whaling City Sound #jazz http://t.co/EvGAJINH8y",5/10/2014
Sea Shepherd Conservation Society Australia - Sea Shepherd Responds to Whaling Industry Plans... http://t.co/tXRxMYs7MO,5/11/2014
"RT @Chris0167: Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/c02ANz0XlZ via @YouTube",5/16/2014
"My day: organ pipes, turtles, whaling ships... sauerkraut. RT @tives: ""Can you crop it so there's less sauerkraut?"" - @heddahfeddah",5/16/2014
"Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/LRWtqAg2WA via @YouTube",5/16/2014
"RT @djdodoebom: Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/LRWtqAg2WA via @YouTube",5/16/2014
"Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling Yah yah yeet http://t.co/Gnw1tePKOq",5/17/2014
"RT @__Optimum__: Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling Yah yah yeet http://t.co/Gnw1tePKOq",5/17/2014
"RT @jn7uwu: Sea Shepherd / South Korean whaling, okay? - repost: http://t.co/fYxPeDhFqT",5/17/2014
I liked a @YouTube video from @ohvaquer http://t.co/mAWFa18SPa ASSASSINS CREED 4 BLACK FLAG PS4 GAMEPLAY - WHALING & OFFICE WORK,5/17/2014
Fishfinders - thy outmaneuver sweetheart whereas whaling: AInYEsYkF,5/17/2014
"No brainer in Faxafloi Bay, Iceland - #WhaleWatching trumps #whaling every time http://t.co/zyNlUuZduc",5/17/2014
"@AJ_Nichols32 - Yup, Elías started tossing himself backward onto the couch and it reminded me. Even preschoolers are into whaling.",5/17/2014
RT @allanimalrights: #AAR #AnimalRights Whaling - an historical background - to present day | http://t.co/YZVVQlhekH,5/17/2014
@karnakgames @GavinBowman I've wanted to make a whaling game forever - would be great co-op play. But technically way beyond me ;),5/17/2014
For the first time in 93 years - a wooden whaling ship is setting sail again in New England http://t.co/GTVFQ8hSKh (NOT hunting whales!),5/18/2014
Battlefield Band - The Weary Whaling Ground tekst og oversettelse av sang http://t.co/EZdxD4roVJ,5/19/2014
RT @Lynnibinny: Appalling new footage shows cruelty of #Norwegian #Whaling - YouTube 1.23m | @scoopit via @WldlifeDefence http://t.co/myK0A…,5/19/2014
#FSU #Noles Florida State football recruiting: FSU still whaling - Tomahawk Nation http://t.co/vMnULDHisV #SportsRoadhouse,5/19/2014
"@DarkBlaze6 @RegularWill Britain: a nation of some 70million people - no whaling, no starving people. Fishing, trade... It's not difficult.",5/19/2014
RT @GoWorldMagazine: Whaling was the island’s lifeblood. Tourists now revel in the charm and history of the summer hot spot - #Nantucket ht…,5/19/2014
Sightseeing/Historic Walking Tour of #SagHarbor Tomorrow @ 10:30am. SH Whaling Museum - 200 Main St. Gladys Remler 288-9021 - $30 #Hamptons,5/21/2014
#NowPlaying Different Kong - A Whaling/North For The Winter #progrock,5/22/2014
Dewy whaling and kayaking moving road upswing course - free trade loans: SkUrsvHSN,5/22/2014
Initiatory factors in regard to whaling - unconcocted answers: obCIs,5/22/2014
Larcenist prong 13 - inflatable whaling kayak quiz show: ZvrfGpVNe http://t.co/al7LphMWdI,5/22/2014
Stop Norwegian Whaling before this 2014 whaling season *** p... - Care2 News Network http://t.co/cxyXXWDKnK,5/22/2014
RT @1WildlifeNews: Norwegian minister pledges to push whale ... - http://t.co/ok901pwGbt #Norway #Whales #Whaling #Marine,5/22/2014
"Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling: http://t.co/T5E8JM48Cv via @YouTube",5/23/2014
National Anthems of Great Current Whaling Nations - Russia - http://t.co/5FeuJ35FLH #Tweet4Taiji #thecove #seashepherd,Thu Mar 12 19:39:01 +0000 2015
"RT @SeaShepherd_USA: Makah Whaling – Whales Must Be Protected in U.S. Waters http://t.co/4pqb5hGhnl Commentary by #SeaShepherd Founder, Cap…",Thu Mar 12 05:28:33 +0000 2015
.@martinlidegaard Denmark supports Faroes Grindadrap = Denmark is Pro-Whaling. End it! http://t.co/rO7zEYQrgi #BloodEclipse,Sun Mar 15 22:35:57 +0000 2015
".@VisitFaroe With 23 whaling bays, not difficult for tourists to find themselves witness to Faroe Grind #BloodEclipse http://t.co/bSKBts1ZiR",Mon Mar 16 13:16:45 +0000 2015
"RT @Jackie_Onassis_: In one of the coldest places on Earth, the still-active volcano of Deception Island has a dangerous whaling past. http…",Thu Mar 12 06:33:47 +0000 2015
"RT @nickseashepherd: Makah Whaling – Whales Must Be Protected in U.S. Waters

Commentary by @CaptPaulWatson 

http://t.co/GOdoZQYIjC",Sun Mar 15 03:43:12 +0000 2015
Why don't they blame South Korea's whaling? http://t.co/Zv7Ea7qhvp #UN #EU #Asia #Africa #NorthAmerica #SouthAmerica,Wed Mar 11 07:42:34 +0000 2015
RT @QuadFins4Fun: Norwegian Government's Financial Support of Whaling under Fire Again - http://t.co/Fc8HOmnC1w http://t.co/It686faj8l,Sun Mar 15 12:23:08 +0000 2015
RT @QuadFins4Fun: Norwegian Government's Financial Support of Whaling under Fire Again - http://t.co/Fc8HOmnC1w http://t.co/It686faj8l,Mon Mar 16 01:45:08 +0000 2015
#gogreen Study by NOAA Heightens the Makah Tribe’s Hopes of Recommencing Whaling Practice http://t.co/LtXrqC93jh,Tue Mar 10 16:08:30 +0000 2015
".@BBCNews Mar 20th. Total Solar Eclipse. Faroes. If people aware of Faroe whaling, would they visit? #BloodEclipse",Sun Mar 15 18:03:22 +0000 2015
RT @SongOfTheHunt: National Anthems of Great Current Whaling Nations - Faroe Islands - http://t.co/heQ8IwcmdR #SeaShepherd #Tweet4Taiji #th…,Mon Mar 16 03:18:54 +0000 2015
"Clickbait for Moby Dick: ""A guy joins a whaling crew. What happens about 489 pages in will shake you a bit.""",Fri Mar 13 02:53:49 +0000 2015
.@DRBreaking Denmark is Pro Whaling as they support Faroe’s Grindadrap – Please end this now! http://t.co/8KvJSfcA1H #BloodEclipse,Sun Mar 15 21:41:12 +0000 2015
Giant sea serpents and whaling ships http://t.co/j6t8BvRFG9 World #Map http://t.co/akEgSZRNfX,Thu Apr 09 14:00:22 +0000 2015
And he was wearing a duffel coat. He looked like he was about to board a nineteenth-century whaling ship in Whitby.,Wed Mar 11 09:51:51 +0000 2015
RT @fidget98160: Why is whaling specifically illegal in so many landlocked states?,Fri Mar 13 01:44:45 +0000 2015
@jumpingGrendel the whaling is the hardest part #mobydick,Thu Mar 12 14:35:33 +0000 2015
".@BBCNews Mar 20th. Total Solar Eclipse. Faroes. If people aware of Faroe whaling, would they visit? #BloodEclipse",Sat Mar 14 17:29:23 +0000 2015
.@SkyNews 1 of only 2 places on Earth to view solar eclipse..Faroe Islands..but many won’t visit due to whaling tradition #BloodEclipse,Mon Mar 16 09:57:59 +0000 2015
"RT @NRDC: Before buying #seafood, verify it's not sourced from Icelandic companies linked to #whaling http://t.co/RTJrIt0jzV http://t.co/yr…",Mon Mar 16 13:19:32 +0000 2015
.@DRBreaking Denmark is Pro Whaling as they support Faroe’s Grindadrap – Please end this now! http://t.co/AgE1AVI9x5 #BloodEclipse,Sat Mar 14 23:36:26 +0000 2015
Recipe - Alaska Whale Stew - http://t.co/NtHytkNGNV #Tweet4Taiji #thecove #whaling,Tue Mar 10 20:09:57 +0000 2015
"RT @SmegmaKing: Silly @freebsdgirl, if #GamerGate was attacking you, it would be called ""Whaling"" not ""Sea-Lioning"" http://t.co/npGuzQZjIa",Wed Mar 18 11:36:18 +0000 2015
"RT @SmegmaKing: Silly @freebsdgirl, if #GamerGate was attacking you, it would be called ""Whaling"" not ""Sea-Lioning"" http://t.co/npGuzQZjIa",Wed Mar 18 16:17:32 +0000 2015
"RT @bvnssss: i had to turn away from sin, she's whaling. ��������",Mon Mar 16 02:20:58 +0000 2015
".@cphpost With 23 whaling bays, not difficult for tourists to find themselves witness to Faroes Grind #BloodEclipse http://t.co/BBLaMgosAS",Sat Mar 14 17:38:52 +0000 2015
#savethearctic #greenpeace http://t.co/IHjKwYQstX,Sun Mar 08 23:18:27 +0000 2015
".@VisitFaroe With 23 whaling bays, not difficult for tourists to find themselves witness to Faroe Grind #BloodEclipse http://t.co/DiXRr3IGy9",Sun Mar 15 01:05:34 +0000 2015
"RT @Jackie_Onassis_: In one of the coldest places on Earth, the still-active volcano of Deception Island has a dangerous whaling past. http…",Thu Mar 12 06:33:52 +0000 2015
".@VisitFaroe With 23 whaling bays, not difficult for tourists to find themselves witness to Faroe Grind #BloodEclipse http://t.co/QkURuOWjyY",Sun Mar 15 16:49:24 +0000 2015
Hearing Everlong on the radio at work makes me think of @_Izayah_ whaling on a set of fake plastic drums back in the day.,Sun Mar 15 21:28:17 +0000 2015
".@VisitFaroe With 23 whaling bays, not difficult for tourists to find themselves witness to Faroe Grind #BloodEclipse http://t.co/QFb35MXmoj",Sun Mar 15 04:03:18 +0000 2015
"RT @SmegmaKing: Silly @freebsdgirl, if #GamerGate was attacking you, it would be called ""Whaling"" not ""Sea-Lioning"" http://t.co/npGuzQZjIa",Wed Mar 18 13:05:22 +0000 2015
"RT @AquamanOD: Native Americans Want to Hunt #GrayWhales, Again. Do They Have the Right? http://t.co/C35txRTkwX via @TakePart #whales #whal…",Thu Mar 12 23:13:34 +0000 2015
"RT @Jackie_Onassis_: In one of the coldest places on Earth, the still-active volcano of Deception Island has a dangerous whaling past. http…",Thu Mar 12 06:33:14 +0000 2015
"RT @WHALES_org: Support or boycott? Why supporting Iceland's whale watch industry is vital for ending whaling
http://t.co/2b5KNNjjio http:/…",Mon Mar 09 14:04:12 +0000 2015
"@theroguetennant Always pictured a whaling boat lifting it's net, only to reveal him standing on top of the net with a ""you're fucked"" look.",Wed Mar 11 20:25:34 +0000 2015
"RT @SeaShepherd_USA: Makah Whaling – Whales Must Be Protected in U.S. Waters http://t.co/4pqb5hGhnl Commentary by #SeaShepherd Founder, Cap…",Thu Mar 12 13:10:02 +0000 2015
.@denmarkinuk The Faroes maintain large parts of their traditional culture. But whaling tradition discourages many visitors! #BloodEclipse,Sun Mar 15 01:03:09 +0000 2015
"RT @Diversion50: PRANK: Loosen the legs on a housemates chair. When he goes to sit down, disembowel him with a whaling harpoon at point b…",Fri Mar 13 18:01:06 +0000 2015
".@cphpost With 23 whaling bays, not difficult for tourists to find themselves witness to Faroes Grind #BloodEclipse http://t.co/QkURuOWjyY",Sun Mar 15 16:52:44 +0000 2015
RT @QuadFins4Fun: Norwegian Government's Financial Support of Whaling under Fire Again - http://t.co/Fc8HOmnC1w http://t.co/It686faj8l,Sun Mar 15 07:30:07 +0000 2015
"House boats, like old timey whaling &amp; Tim Burton, have a strange nostalgic air of romance which clouds exactly how awful they must be",Wed Mar 11 02:28:13 +0000 2015
National Anthems of Great Current Whaling Nations - Saint Vincent &amp; Grenadines - http://t.co/eA8zQAKRJL #Tweet4Taiji #seashepherd,Mon Mar 09 23:10:18 +0000 2015
World's Whaling Slaughter Tallied at 3 Million #RacingExtinction http://t.co/iCNsSqKbGk http://t.co/vnIrMJrNaR,Thu Mar 12 16:19:50 +0000 2015
RT @peteswildlife: .@martinlidegaard Denmark supports Faroes Grindadrap = Denmark is Pro-Whaling. End it! http://t.co/FZe8Bwo9sU #BloodEcl…,Wed Mar 18 10:56:38 +0000 2015
National Anthems of Great Current Whaling Nations - Canada - http://t.co/6ADRsI11Xq #Tweet4Taiji #thecove #seashepherd,Mon Mar 16 08:10:05 +0000 2015
.@DRBreaking Denmark is Pro Whaling as they support Faroe’s Grindadrap – Please end this now! http://t.co/IlTYpViubW #BloodEclipse,Sun Mar 15 00:15:38 +0000 2015
National Anthems of Great Current Whaling Nations - Canada - http://t.co/6ADRsI11Xq #Tweet4Taiji #thecove #seashepherd,Thu Mar 12 14:10:50 +0000 2015
RT @BiodiversityNew: World's whaling slaughter tallied http://t.co/i8YUUit4lf,Thu Mar 12 03:49:30 +0000 2015
".@cphpost With 23 whaling bays, not difficult for tourists to find themselves witness to Faroes Grind #BloodEclipse http://t.co/WnyZMnVxtz",Sun Mar 15 15:05:01 +0000 2015
.@DRBreaking Denmark is Pro Whaling as they support Faroe’s Grindadrap – Please end this now! http://t.co/sxnxWEYHYY #BloodEclipse,Sat Mar 14 20:15:52 +0000 2015
Grim reading: World’s whaling slaughter tallied http://t.co/BgoNPGpZqd #Antarctic #whales @NatureNews @DPCressey,Thu Mar 12 14:49:24 +0000 2015
@DANCHISE25 whaling*,Thu Mar 12 18:01:56 +0000 2015
RT @DohertyShannen: I hope there is more attention brought to this especially as it is happening in our own backyard @SeaShepherd_USA http:…,Mon Mar 16 02:18:47 +0000 2015
.@martinlidegaard Denmark supports Faroes Grindadrap = Denmark is Pro-Whaling. End it! http://t.co/PqAwzQJLIh #BloodEclipse,Mon Mar 16 12:04:06 +0000 2015
RT @IntellectualFix: An endangered Finless Porpoise smiling before its death from illegal whaling http://t.co/2MAVEsWbEQ,Fri Mar 13 02:55:41 +0000 2015
.@DRBreaking Denmark is Pro Whaling as they support Faroe’s Grindadrap – Please end this now! http://t.co/EpLGvyh65b #BloodEclipse,Mon Mar 16 06:11:08 +0000 2015
.@martinlidegaard Denmark supports Faroes Grindadrap = Denmark is Pro-Whaling. End it! http://t.co/WFxLWIL3Pa #BloodEclipse,Sun Mar 15 01:44:15 +0000 2015
"RT @Jackie_Onassis_: In one of the coldest places on Earth, the still-active volcano of Deception Island has a dangerous whaling past. http…",Thu Mar 12 06:33:10 +0000 2015
Whaling Facts - http://t.co/nPrWHfx5u6 #Tweet4Taiji #ShutTaijiDown #tweet4dolphins #opkillingbay #seashepherd #coveguardians,Thu Mar 12 08:45:50 +0000 2015
.@SkyNews 1 of only 2 places on Earth to view solar eclipse..Faroe Islands..but many won’t visit due to whaling tradition #BloodEclipse,Sun Mar 15 00:30:05 +0000 2015
Recipe - Alaska Whale Stew - http://t.co/NtHytkNGNV #Tweet4Taiji #thecove #whaling #seashepherd,Tue Mar 10 09:11:02 +0000 2015
".@VisitFaroe With 23 whaling bays, not difficult for tourists to find themselves witness to Faroe Grind #BloodEclip",Sun Mar 15 22:43:45 +0000 2015
"RT @pippatg: .@VisitFaroe With 23 whaling bays, not difficult for tourists to find themselves witness to Faroe Grind #BloodEclipse http://t…",Mon Mar 16 02:12:14 +0000 2015
"Canada is the only major whaling nation that left IWC. Canada realized IWC is not about sustainable hunting, but conservation. #Tweet4Taiji",Tue Mar 10 19:08:55 +0000 2015
h90 Whale hunting whaling history whaler stationery marine life Romania 2004 189 http://t.co/0BWvkwFXSo http://t.co/d4h5X2RHf1,Wed Mar 11 17:39:01 +0000 2015
WHY am I just finding out about whaling omg,Wed Mar 11 13:12:34 +0000 2015
Whaling an american violent recreation: Ntqs,Sun Mar 15 06:07:03 +0000 2015
Recipe - Alaska Whale Stew - http://t.co/NtHytkNGNV #Tweet4Taiji #thecove #whaling #seashepherd,Wed Mar 11 20:10:00 +0000 2015
@merderlove1 that was bad. I was literally whaling.,Tue Mar 10 11:20:14 +0000 2015
"Incredible passion&amp; candor from #Nebrasketball HOF'r Beau Reid, now @937theticket whaling on refs in #Huskers game &amp; why NU will bounce back",Mon Mar 09 16:29:52 +0000 2015
.@martinlidegaard Denmark supports Faroes Grindadrap = Denmark is Pro-Whaling. End it! http://t.co/mTOiPJ0Ep3 #BloodEclipse,Sun Mar 15 14:48:40 +0000 2015
https://t.co/UfGKGQVohO,Wed Mar 11 11:36:10 +0000 2015
World's Whaling Slaughter Tallied at 3 Million http://t.co/zAujGuQcYb,Thu Mar 12 15:51:36 +0000 2015
"@GraemeEdgeler Yeah, but there aren't exactly enough Whaling Commission votes to justify all that we've seen..",Wed Mar 11 20:56:01 +0000 2015
RT @DohertyShannen: I hope there is more attention brought to this especially as it is happening in our own backyard @SeaShepherd_USA http:…,Sun Mar 15 19:21:20 +0000 2015
".@Nordic_News Rugged and wild, the Faroe Islands, a jewel in the North Atlantic sea, tainted only by the tradition of whaling. #BloodEclipse",Sat Mar 14 18:12:32 +0000 2015
