id,credible_count,comments_count,keywords_count,nouns_count,numerical_count,publication_date,punctuation_count,uppercase_count,entities_count,word_count,sentiment_count
558ead5a48d3e920128197d1,4,0,1,0,0,1,0,0,0,0,1
558ead5a48d3e920128197d8,4,0,3,0,0,1,0,0,0,0,2
558ead5a48d3e920128197dd,2,0,1,0,0,1,0,0,1,1,1
558ead5a48d3e920128197df,7,0,2,0,1,4,0,0,0,1,1
558ead5a48d3e920128197e2,5,0,0,0,0,0,0,0,2,1,1
558ead5a48d3e920128197e3,8,0,1,1,1,0,1,1,6,1,2
558ead5a48d3e920128197e4,7,0,1,0,0,2,0,0,1,1,1
558ead5a48d3e920128197e5,11,0,1,0,1,0,0,1,2,5,5
558ead5a48d3e920128197e6,10,0,0,0,1,0,0,0,1,5,0
558ead5a48d3e920128197e8,6,0,2,1,1,2,0,0,1,1,2
558ead5a48d3e920128197e9,6,0,0,0,1,0,0,0,0,4,1
558ead5a48d3e920128197ea,10,0,3,0,1,1,0,0,3,0,7
558ead5a48d3e920128197eb,9,0,2,0,1,3,1,0,6,1,2
558ead5a48d3e920128197ec,11,0,2,1,0,0,1,0,8,2,0
558ead5a48d3e920128197f0,4,1,2,0,1,2,0,1,1,2,2
558ead5a48d3e920128197f1,9,0,2,1,0,2,0,1,1,1,1
558ead5a48d3e920128197f3,10,0,0,1,1,2,1,1,6,3,1
558ead5a48d3e920128197f4,7,0,1,0,0,1,0,0,3,0,0
558ead5a48d3e920128197f6,10,0,2,0,1,2,0,0,3,3,1
558ead5a48d3e920128197f7,11,0,5,0,0,2,0,0,4,2,0
558ead5a48d3e920128197f8,2,0,0,0,0,1,0,0,0,0,1
558ead5a48d3e920128197f9,7,0,2,0,0,2,0,0,1,1,4
558ead5a48d3e920128197fa,3,0,1,0,0,0,0,0,0,1,1
558ead5a48d3e920128197fb,10,0,2,1,0,1,0,1,1,6,2
558ead5a48d3e920128197fc,9,0,4,0,0,0,0,0,2,0,2
558ead5a48d3e920128197fd,11,0,2,1,0,2,0,1,2,3,3
558ead5a48d3e92012819801,9,0,1,1,0,2,0,0,4,3,1
558ead5a48d3e92012819802,11,0,1,0,0,1,1,0,6,1,1
558ead5a48d3e92012819803,6,0,1,1,1,0,0,0,1,2,2
558ead5a48d3e92012819805,9,0,4,0,0,5,0,0,2,5,1
558ead5a48d3e92012819808,9,1,1,2,2,1,1,3,4,2,4
558ead5a48d3e92012819809,9,1,2,2,1,2,1,1,2,1,3
558ead5a48d3e9201281980a,11,0,1,1,1,1,0,1,0,3,2
558ead5a48d3e9201281980b,4,0,0,0,0,2,0,0,0,0,2
558ead5a48d3e9201281980c,13,0,1,1,0,2,0,1,0,1,7
558ead5a48d3e9201281980e,5,0,0,0,0,3,0,0,0,0,0
558ead5a48d3e9201281980f,8,0,2,0,1,1,0,2,1,4,1
558ead5a48d3e92012819810,5,0,1,0,0,1,0,0,1,2,1
558ead5a48d3e92012819812,14,0,0,0,1,1,0,0,8,0,3
558ead5a48d3e92012819813,2,0,0,0,0,1,0,0,0,0,1
558ead5a48d3e92012819815,7,0,4,2,1,0,0,0,0,1,2
558ead5a48d3e92012819816,5,0,1,1,1,1,0,0,2,1,1
558ead5a48d3e92012819818,8,0,3,1,0,2,0,1,0,1,2
558ead5a48d3e92012819819,8,0,0,0,2,1,0,0,3,0,2
558ead5a48d3e9201281981a,10,0,1,0,0,1,0,0,0,2,1
558ead5a48d3e9201281981b,4,0,1,0,0,0,1,0,1,1,1
558ead5a48d3e9201281981d,10,0,1,0,2,3,0,0,0,4,4
558ead5a48d3e9201281981e,6,0,1,0,0,1,0,0,0,0,4
558ead5a48d3e9201281981f,6,0,1,0,1,1,1,1,1,1,1
558ead5a48d3e92012819820,7,0,1,0,0,2,0,0,4,0,0
558ead5a48d3e92012819823,8,0,5,2,1,1,1,1,3,3,1
558ead5a48d3e92012819824,5,0,3,1,0,1,1,0,0,1,2
558ead5a48d3e92012819825,8,0,2,0,2,0,0,0,1,0,3
558ead5a48d3e92012819826,9,0,1,0,0,4,1,0,1,0,2
558ead5a48d3e92012819829,3,0,0,0,0,1,0,0,1,0,1
558ead5a48d3e9201281982b,10,0,3,1,0,1,0,0,5,1,1
558ead5a48d3e9201281982c,8,0,2,0,0,2,0,0,4,0,2
558ead5a48d3e9201281982e,6,4,0,0,0,1,0,0,0,1,2
558ead5a48d3e9201281982f,5,2,0,0,0,1,0,0,1,0,1
558ead5a48d3e92012819834,9,4,0,1,0,0,0,1,1,2,1
558ead5a48d3e92012819837,11,2,0,1,0,0,0,0,3,1,4
558ead5a48d3e9201281983e,9,0,0,1,0,1,1,0,4,3,1
558ead5a48d3e92012819844,4,1,1,0,0,0,0,0,2,2,0
558ead5a48d3e92012819855,9,0,0,1,0,1,1,1,3,3,1
558ead5a48d3e92012819857,7,1,0,0,1,1,0,0,2,0,1
558ead5a48d3e92012819858,9,0,0,1,0,0,1,0,7,5,1
558ead5a48d3e9201281985a,6,0,1,0,0,1,0,0,2,1,1
558ead5a48d3e9201281985b,7,0,2,3,0,1,1,2,2,3,3
558ead5a48d3e9201281985d,8,1,0,0,0,1,1,1,4,0,2
558ead5a48d3e9201281985f,3,0,0,0,0,0,0,0,1,0,0
558ead5a48d3e92012819860,8,0,0,0,0,0,0,0,0,3,1
558ead5a48d3e92012819861,8,0,3,1,0,1,0,0,2,1,1
558ead5a48d3e92012819862,3,0,0,0,0,0,1,0,0,0,0
558ead5a48d3e92012819872,5,0,1,0,0,0,0,0,3,1,1
558ead5a48d3e92012819873,8,0,2,0,0,2,0,0,1,0,2
558ead5a48d3e92012819878,8,1,0,0,0,2,0,0,1,1,2
558ead5a48d3e9201281987b,5,0,0,0,0,0,0,0,3,1,2
558ead5a48d3e9201281987c,9,0,0,0,0,3,1,0,4,1,3
558ead5a48d3e9201281987d,4,0,0,0,0,1,0,0,0,2,3
558ead5a48d3e9201281987f,12,1,1,3,1,1,1,1,2,4,7
558ead5a48d3e92012819881,9,5,1,2,0,1,0,2,0,0,1
558ead5a48d3e92012819882,7,0,0,0,0,0,1,1,2,2,3
558ead5a48d3e92012819883,8,0,0,0,0,3,0,2,3,0,0
558ead5a48d3e92012819886,6,1,1,0,1,0,1,1,2,3,2
558ead5a48d3e92012819888,10,0,0,1,0,1,0,1,5,1,0
558ead5a48d3e92012819889,5,0,0,1,0,3,0,1,1,2,1
558ead5a48d3e9201281988a,2,0,0,0,1,0,0,0,2,0,0
558ead5a48d3e9201281988b,9,1,0,1,1,1,1,1,1,3,2
558ead5a48d3e9201281988c,6,1,0,0,0,2,1,1,3,0,3
558ead5a48d3e9201281988d,6,0,1,2,0,0,1,0,1,1,3
558ead5a48d3e9201281988e,7,0,0,1,0,1,0,0,0,0,1
558ead5a48d3e92012819891,8,0,0,0,0,3,0,0,3,0,4
558ead5a48d3e92012819893,6,0,0,0,0,2,0,0,2,0,1
558ead5a48d3e92012819894,5,0,0,0,0,0,0,0,2,2,4
558ead5a48d3e92012819896,9,0,0,1,0,2,0,0,2,1,2
558ead5a48d3e92012819898,6,1,0,0,0,2,0,0,1,1,2
558ead5a48d3e9201281989c,3,1,0,1,1,0,1,2,0,1,0
558ead5a48d3e920128198a2,5,0,0,0,0,2,0,0,1,0,2
558ead5a48d3e920128198a3,12,1,0,2,2,2,1,1,3,4,2
558ead5a48d3e920128198a4,5,0,0,0,0,2,1,0,1,0,1
