id,credible_count,has_user_avatar,has_user_background,has_user_description,user_created_at,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_statuses_count,user_verified
574738708659753000,7,0,0,0,0,0,1,0,1,1,0
574854143506059000,13,1,1,0,1,2,6,1,2,5,0
575262217366561000,4,1,0,0,1,1,0,0,0,0,1
575648505353671000,8,0,0,0,0,0,4,0,0,1,0
575706851657937000,8,0,0,0,0,2,2,3,1,2,0
575769122304209000,11,0,0,0,0,8,6,6,4,9,0
575987404097618000,12,1,0,0,0,1,4,1,1,4,0
576165131299598000,7,0,0,0,2,3,3,0,0,0,0
576265949386400000,7,0,0,0,3,0,2,3,4,2,0
576336663649063000,5,0,0,0,0,0,0,0,1,0,0
576343799259111000,4,0,0,0,0,0,0,0,0,2,0
577126263929721000,12,0,0,0,2,0,7,4,0,4,0
577238088432427000,6,1,0,0,1,3,4,1,1,1,0
577239040623247000,6,0,0,0,2,3,2,2,1,3,0
577239801952387000,2,0,0,0,0,1,0,0,0,0,0
577411587264246000,4,0,1,0,1,0,2,1,1,0,0
578222802899223000,7,2,2,0,3,3,3,2,2,3,0
587348233497747000,1,0,0,0,1,0,0,0,0,0,0
587403373818831000,10,0,1,0,1,1,5,3,1,4,1
587589637712978000,11,1,0,0,1,3,0,1,0,4,1
587595536615617000,3,0,0,0,1,0,0,0,0,3,0
587609806308938000,6,0,0,0,2,0,3,1,0,4,0
587658218811347000,10,0,1,0,4,1,3,2,0,1,0
587658352030679000,3,0,0,0,0,1,2,0,1,0,0
587669420992045000,10,1,1,0,1,4,8,7,4,6,0
587688843060650000,2,0,0,0,0,2,0,0,0,1,0
588657945082106000,3,1,1,0,1,0,1,2,1,1,0
588713584789746000,3,0,0,0,0,0,0,0,0,1,0
588714254414455000,13,2,2,0,2,0,3,2,1,4,0
588750545814475000,5,0,0,0,1,0,0,1,0,1,0
588754610753557000,6,1,1,0,2,0,2,1,0,0,0
588791804830450000,10,0,0,0,3,2,5,2,1,5,0
588830270876332000,4,0,0,0,2,0,0,0,0,3,0
588967789664277000,7,1,0,0,1,2,4,1,0,1,0
589064678871011000,6,0,0,0,1,1,3,0,0,1,0
589250465839321000,8,1,2,0,2,0,0,0,2,5,0
589260474899780000,10,0,0,1,0,4,3,1,0,0,1
589707658325844000,7,1,0,0,2,1,1,0,1,1,0
590300308166746000,11,2,0,0,0,1,2,0,0,0,0
590304484242420000,9,1,1,0,2,3,7,5,4,1,0
590501611048456000,10,1,0,0,3,0,3,3,3,3,1
590864901322576000,10,0,0,0,4,1,1,2,0,5,1
590954991180997000,8,2,0,0,1,1,1,0,1,0,0
591013138373419000,7,0,0,0,0,3,4,1,0,0,1
591046134920978000,8,0,0,0,1,1,2,3,1,4,0
591201695310414000,9,1,2,0,2,4,3,3,1,2,0
591619394104480000,6,0,0,0,1,1,2,1,0,1,0
591691016748556000,13,2,0,0,0,3,7,3,1,5,0
591820563246490000,8,0,0,0,3,1,3,2,1,2,0
593079747376239000,8,1,1,0,1,0,3,2,0,5,0
593208631090262000,9,0,0,0,0,3,3,3,0,3,0
597778738147787000,5,0,0,0,1,0,0,0,0,3,0
598618323278901000,5,0,0,0,0,2,0,0,0,0,0
599100980118983000,8,0,0,0,0,1,3,3,0,3,0
599700237066871000,14,2,0,0,1,3,9,6,1,3,0
600066934433030000,9,0,0,0,2,1,7,2,1,3,0
600750966783103000,4,0,0,0,0,2,1,0,0,0,0
601003698857366000,2,0,0,0,1,1,0,1,1,1,0
601352896874041000,8,1,1,0,1,2,3,3,1,2,1
601714775228224000,11,0,0,0,1,2,6,5,1,3,0
601850813691109000,8,0,1,0,0,2,1,1,3,3,0
602903236559958000,10,0,0,0,1,1,5,2,0,2,0
602990500019188000,7,2,2,0,4,1,5,3,1,1,5
603016760879546000,6,0,0,0,1,2,2,2,1,2,0
603153674479792000,7,1,1,0,4,3,1,2,1,2,0
603163768227430000,9,0,0,0,2,0,2,2,0,6,0
603390602172965000,6,0,0,0,2,1,0,0,0,2,0
603407585941787000,4,0,0,0,2,0,0,0,0,1,0
603567551189275000,11,0,2,0,4,0,4,0,2,6,0
603614370338243000,14,1,1,0,3,2,4,3,2,5,0
603614527041774000,4,0,0,0,0,0,1,0,0,3,0
604333385796821000,4,0,0,0,0,0,0,0,1,2,0
604335853712851000,9,1,0,0,2,0,2,3,2,0,0
604405093551612000,11,1,1,0,2,0,0,0,1,8,0
605891981756097000,14,0,0,0,1,4,6,5,1,4,0
606136451525419000,1,0,1,0,0,0,0,1,1,0,1
606182836564066000,5,0,1,0,0,0,1,1,1,0,0
606562714756850000,12,1,0,0,3,0,2,2,0,1,1
606565163685184000,6,0,0,0,0,1,2,1,0,2,0
606655777189724000,2,1,1,0,1,0,0,1,0,1,0
606801653174530000,2,1,1,0,1,1,2,0,0,1,0
606939203868303000,8,0,0,0,0,0,2,1,1,2,0
607242939983622000,12,1,0,0,3,4,7,1,1,4,0
607265563425927000,5,0,0,0,0,0,0,0,1,1,0
607550733685293000,12,0,0,0,2,6,9,8,2,5,0
607614480349032000,11,0,0,0,0,1,6,2,0,0,0
607642265826107000,4,0,0,0,0,1,2,1,1,3,0
608081458473738000,12,0,0,0,2,2,3,3,1,4,0
608145880223351000,2,0,0,0,0,0,0,0,0,1,0
608175507386081000,3,0,0,0,1,0,0,0,0,0,0
608298575521583000,12,2,4,0,4,4,10,8,3,5,0
608408641855758000,10,0,0,1,2,0,6,1,1,4,0
608570424495100000,9,0,0,0,2,5,1,0,1,4,0
608576795009511000,12,1,0,0,3,0,5,4,0,5,1
608948084064703000,7,0,0,0,1,2,5,1,0,1,0
609039146766602000,11,0,0,0,4,6,4,2,1,3,0
609053319898759000,11,0,0,0,3,4,3,0,0,2,0
609735847710102000,11,0,0,0,3,6,5,5,2,7,0
610016619524452000,11,0,0,0,1,1,4,1,0,7,0
